[20-Mar-2023 09:08:49 UTC] PHP Warning:  Undefined array key "url" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/includes/template-library/classes/class-import-images.php on line 199
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 900
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Undefined variable $qsid in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 958
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Undefined variable $qsid in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 960
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Undefined variable $qsid in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 967
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Undefined variable $qsid in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 968
[20-Mar-2023 09:14:48 UTC] PHP Warning:  Undefined variable $qsid in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 971
[20-Mar-2023 09:29:34 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[20-Mar-2023 09:50:54 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[20-Mar-2023 09:51:30 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[20-Mar-2023 09:51:37 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 900
[20-Mar-2023 09:52:22 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 900
[20-Mar-2023 09:52:44 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[20-Mar-2023 09:53:11 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[20-Mar-2023 09:53:23 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 900
[02-May-2023 06:33:41 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[24-May-2023 08:27:59 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[24-May-2023 08:33:43 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[24-May-2023 08:35:18 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[30-May-2023 09:30:04 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/louis/Local Sites/planty/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[06-Jun-2023 08:44:47 UTC] Erreur d’événement de replanification de tâche pour le crochet action_scheduler_run_queue. Code d’erreur : could_not_set. Message d’erreur : La liste des évènements planifiés n’a pas pu être sauvegardée.. Données : {"schedule":"every_minute","args":["WP Cron"],"interval":60}
[13-Jun-2023 12:19:08 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[14-Jun-2023 12:48:13 UTC] PHP Warning:  Undefined array key "data" in /Users/louis/Local Sites/planty/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[14-Jun-2023 13:09:32 UTC] PHP Parse error:  syntax error, unexpected token ".", expecting end of file in /Users/louis/Local Sites/planty/app/public/wp-content/themes/Planty/functions.php on line 44
[14-Jun-2023 13:10:55 UTC] PHP Parse error:  syntax error, unexpected token ".", expecting end of file in /Users/louis/Local Sites/planty/app/public/wp-content/themes/Planty/functions.php on line 44
[14-Jun-2023 13:10:55 UTC] PHP Parse error:  syntax error, unexpected token ".", expecting end of file in /Users/louis/Local Sites/planty/app/public/wp-content/themes/Planty/functions.php on line 44
